"k","MAP","d","optwL","P50","pxmin"
0.05,912.5,1,0.232710738559932,-0.870375412543876,-0.937564484507501
0.05,912.5,2,0.195720318798921,-1.74075082508775,-2.00120593171935
0.05,912.5,3,0.176365743419047,-2.61112623763163,-3.1576409447397
0.05,912.5,4,0.163665922988169,-3.4815016501755,-4.38046173060623
0.05,912.5,5,0.154405515832172,-4.35187706271938,-5.65345548062601
0.05,912.5,6,0.147217949711104,-5.22225247526326,-6.96608767175241
0.05,912.5,7,0.14140208583106,-6.09262788780713,-8.31114030025586
0.05,912.5,8,0.136553575021451,-6.96300330035101,-9.68343897919421
0.05,912.5,9,0.132419635318836,-7.83337871289488,-11.0791292692491
0.05,912.5,10,0.128832551931285,-8.70375412543876,-12.4952490758884
0.05,912.5,11,0.125675832457045,-9.57412953798264,-13.9294616398877
0.05,912.5,12,0.122865557841609,-10.4445049505265,-15.3798818846938
0.05,912.5,13,0.120339445282436,-11.3148803630704,-16.8449615510415
0.05,912.5,14,0.118050112444027,-12.1852557756143,-18.3234071861525
0.05,912.5,15,0.115960745153001,-13.0556311881581,-19.8141259011127
0.05,1825,1,0.237391588872622,-0.870375412543876,-0.859248838559514
0.05,1825,2,0.199489329739771,-1.74075082508775,-1.84080984050018
0.05,1825,3,0.17952434279237,-2.61112623763163,-2.92143907356087
0.05,1825,4,0.166376542776725,-3.4815016501755,-4.07637104523994
0.05,1825,5,0.156779197039202,-4.35187706271938,-5.28802790189503
0.05,1825,6,0.149332299107777,-5.22225247526326,-6.54430686449467
0.05,1825,7,0.14331218245135,-6.09262788780713,-7.83676937253472
0.05,1825,8,0.138299320937905,-6.96300330035101,-9.15936314635213
0.05,1825,9,0.134030585048342,-7.83337871289488,-10.5076100367295
0.05,1825,10,0.130331075377534,-8.70375412543876,-11.8780989900848
0.05,1825,11,0.127079206140588,-9.57412953798264,-13.2681632685104
0.05,1825,12,0.124187366810834,-10.4445049505265,-14.6756718780018
0.05,1825,13,0.121590551622243,-11.3148803630704,-16.098886445956
0.05,1825,14,0.119239324942283,-12.1852557756143,-17.5363675332996
0.05,1825,15,0.117095304234802,-13.0556311881581,-18.9869045692894
0.05,3650,1,0.240720784922174,-0.870375412543876,-0.808402334598943
0.05,3650,2,0.202599760505722,-1.74075082508775,-1.72019857624977
0.05,3650,3,0.182350317547423,-2.61112623763163,-2.72826475171842
0.05,3650,4,0.168914985432409,-3.4815016501755,-3.81478844276643
0.05,3650,5,0.159062987634281,-4.35187706271938,-4.96345711436826
0.05,3650,6,0.151401192399335,-5.22225247526326,-6.16156128287105
0.05,3650,7,0.145202117158757,-6.09262788780713,-7.39972485148092
0.05,3650,8,0.14004001702182,-6.96300330035101,-8.67106912858411
0.05,3650,9,0.135645902422376,-7.83337871289488,-9.97047461660896
0.05,3650,10,0.131840049312897,-8.70375412543876,-11.294048910861
0.05,3650,11,0.128497077955157,-9.57412953798264,-12.6387651460313
0.05,3650,12,0.125526435087954,-10.4445049505265,-14.0022211346397
0.05,3650,13,0.122860835758151,-11.3148803630704,-15.3824711438051
0.05,3650,14,0.120449068612772,-12.1852557756143,-16.7779151210702
0.05,3650,15,0.118251357932714,-13.0556311881581,-18.1872153207229
0.025,1825,1,0.239195109544508,-0.870375412543876,-0.831231571841871
0.025,1825,2,0.20111378321388,-1.74075082508775,-1.77656804594243
0.025,1825,3,0.18101341133804,-2.61112623763163,-2.81763016751685
0.025,1825,4,0.167742589031388,-3.4815016501755,-3.93295746515509
0.025,1825,5,0.158036873793565,-4.35187706271938,-5.10616874696658
0.025,1825,6,0.150496739972611,-5.22225247526326,-6.32540623117045
0.025,1825,7,0.144397014176772,-6.09262788780713,-7.58214549365072
0.025,1825,8,0.139316080095946,-6.96300330035101,-8.87016356165935
0.025,1825,9,0.134988801190102,-7.83337871289488,-10.1848112227345
0.025,1825,10,0.131238568923695,-8.70375412543876,-11.5225281598615
0.025,1825,11,0.127942402659769,-9.57412953798264,-12.8805250755913
0.025,1825,12,0.125011577155513,-10.4445049505265,-14.2565703247032
0.025,1825,13,0.122380194062074,-11.3148803630704,-15.6488455626479
0.025,1825,14,0.119998107413937,-12.1852557756143,-17.0558445960856
0.025,1825,15,0.117826363252303,-13.0556311881581,-18.4763020773553
0.1,1825,1,0.234808141099762,-0.870375412543876,-0.901433073539673
0.1,1825,2,0.197408370152652,-1.74075082508775,-1.92732928986968
0.1,1825,3,0.177740442117081,-2.61112623763163,-3.05206153265102
0.1,1825,4,0.164809572214808,-3.4815016501755,-4.24887578037376
0.1,1825,5,0.155378614648381,-4.35187706271938,-5.50000942834229
0.1,1825,6,0.148062641645618,-5.22225247526326,-6.79369155452189
0.1,1825,7,0.142147742031287,-6.09262788780713,-8.12187008260473
0.1,1825,8,0.13722104788221,-6.96300330035101,-9.47882015020171
0.1,1825,9,0.133024078452982,-7.83337871289488,-10.8603182686105
0.1,1825,10,0.129385235827011,-8.70375412543876,-12.2631490191055
0.1,1825,11,0.126185325808448,-9.57412953798264,-13.6847954120655
0.1,1825,12,0.123338503911397,-10.4445049505265,-15.1232414308779
0.1,1825,13,0.120781086544006,-11.3148803630704,-16.5768406974742
0.1,1825,14,0.118464650078495,-12.1852557756143,-18.0442256010867
0.1,1825,15,0.116351594013023,-13.0556311881581,-19.524245000572
